Latitude,Longitude
-37.81349283433532,144.952370512958
-37.81382491385287,144.9533349419051
-37.815243037017204,144.95358499528095
-37.816277543888624,144.9551187147902
-37.817916861284985,144.95543736581246
-37.8182684748918,144.9564585258741
-37.81712704887352,144.95694303247342
-37.81896676863261,144.95691092004557
-37.81818275112276,144.95838544252564
-37.81818275112276,144.95838544252564
-37.81884103734738,144.95709348306556
-37.81884103734738,144.95709348306556
-37.81982758881791,144.95568454154937
-37.81982758881791,144.95568454154937
-37.82090337105769,144.95508822571648
-37.82090337105769,144.95508822571648
-37.82090337105769,144.95508822571648
-37.82090337105769,144.95508822571648
-37.819067831981236,144.95568462851563
-37.819067831981236,144.95568462851563
-37.8205807371007,144.95513397608488
-37.8205807371007,144.95513397608488
-37.81862511418632,144.95544371632565
-37.817976166211935,144.95652374712452
-37.81627418938666,144.95688551346655
-37.81567514398246,144.95862526764566
-37.81683250936622,144.959376869514
-37.81683250936622,144.959376869514
-37.81683250936622,144.959376869514
-37.81683250936622,144.959376869514
-37.81751875455034,144.9583201445984
-37.81751875455034,144.9583201445984
-37.81570514779222,144.958980243475
-37.81570514779222,144.960720243475
-37.81570514779222,144.960720243475
-37.81676572476685,144.9602029655218
-37.81560133721331,144.96118000268854
-37.81560133721331,144.96118000268854
-37.81462038604368,144.96206325508894
-37.81462038604368,144.96206325508894
-37.81462038604368,144.96206325508894
-37.81462038604368,144.96206325508894
-37.81462038604368,144.96206325508894
-37.81462038604368,144.96206325508894
-37.81462038604368,144.96206325508894
-37.81462038604368,144.96206325508894
-37.81462038604368,144.96206325508894
-37.81462038604368,144.96206325508894
-37.81462038604368,144.96206325508894
-37.81492278841318,144.9608503854311
-37.81492278841318,144.9608503854311
-37.81492278841318,144.9608503854311
-37.81414755348946,144.96157330369275
-37.81414755348946,144.96157330369275
-37.81498497508653,144.9603773417081
-37.81498497508653,144.9603773417081
-37.815161746032025,144.96149342953296
-37.815161746032025,144.96149342953296
-37.815161746032025,144.96149342953296
-37.815161746032025,144.96149342953296
-37.815161746032025,144.96149342953296
-37.81564686777826,144.9598016089481
-37.81408154217857,144.96098116639348
-37.81408154217857,144.96098116639348
-37.81408154217857,144.96098116639348
-37.81498033622487,144.96054279524668
-37.815249508031776,144.95953823238733
-37.816828261848826,144.960051200598
-37.816828261848826,144.960051200598
-37.81567725095929,144.9605879257904
-37.81634269051442,144.95960137107906
-37.81493814679427,144.96086602792508
-37.81493814679427,144.96086602792508
-37.81493814679427,144.96086602792508
-37.81493814679427,144.96086602792508
-37.8147252119498,144.96238113807024
-37.8147252119498,144.96238113807024
-37.8147252119498,144.96238113807024
-37.8147252119498,144.96238113807024
-37.8147252119498,144.96238113807024
-37.8147252119498,144.96238113807024
-37.81538349817442,144.96108917861017
-37.81538349817442,144.96108917861017
-37.816126096235855,144.96017214637564
-37.816126096235855,144.96017214637564
-37.81442890498047,144.96119192176397
-37.81442890498047,144.96119192176397
-37.81442890498047,144.96119192176397
-37.81407662423284,144.96215980516337
-37.81407662423284,144.96215980516337
-37.81407662423284,144.96215980516337
-37.81407662423284,144.96215980516337
-37.81407662423284,144.96215980516337
-37.815066573726504,144.9611698556697
-37.815992187884454,144.9600667516716
-37.815992187884454,144.9600667516716
-37.815992187884454,144.9600667516716
-37.81683786585093,144.9591598730816
-37.81683786585093,144.9591598730816
-37.81683786585093,144.9591598730816
